system:index,date,ndvi,.geo
20241005T052649_20241005T054328_T43QCA,2024-10-05,0.336818736594895,"{""type"":""MultiPoint"",""coordinates"":[]}"
20241025T052819_20241025T054234_T43QCA,2024-10-25,0.33013209888885675,"{""type"":""MultiPoint"",""coordinates"":[]}"
20241030T052941_20241030T053441_T43QCA,2024-10-30,0.3125051762078806,"{""type"":""MultiPoint"",""coordinates"":[]}"
20241104T052919_20241104T053630_T43QCA,2024-11-04,0.2808169394436806,"{""type"":""MultiPoint"",""coordinates"":[]}"
20241109T053031_20241109T054300_T43QCA,2024-11-09,0.24970917025457973,"{""type"":""MultiPoint"",""coordinates"":[]}"
20241114T052959_20241114T053733_T43QCA,2024-11-14,0.23894011019001624,"{""type"":""MultiPoint"",""coordinates"":[]}"
20241119T053111_20241119T054341_T43QCA,2024-11-19,0.25066112960727543,"{""type"":""MultiPoint"",""coordinates"":[]}"
20241129T053201_20241129T053157_T43QCA,2024-11-29,0.23760706654411018,"{""type"":""MultiPoint"",""coordinates"":[]}"
20241214T053139_20241214T053359_T43QCA,2024-12-14,0.23840872072121946,"{""type"":""MultiPoint"",""coordinates"":[]}"
20241219T053231_20241219T053758_T43QCA,2024-12-19,0.22513918286611265,"{""type"":""MultiPoint"",""coordinates"":[]}"
20241229T053231_20241229T053232_T43QCA,2024-12-29,0.19499733993961876,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250103T053129_20250103T054245_T43QCA,2025-01-03,0.23516050382448767,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250113T053209_20250113T053803_T43QCA,2025-01-13,0.19044744597976887,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250118T053141_20250118T053348_T43QCA,2025-01-18,0.22104376999048708,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250123T053029_20250123T053836_T43QCA,2025-01-23,0.21631933910195555,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250202T052939_20250202T054131_T43QCA,2025-02-02,0.2291693536483391,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250207T053031_20250207T053735_T43QCA,2025-02-07,0.19954186272667096,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250212T052839_20250212T054343_T43QCA,2025-02-12,0.23137562307793277,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250217T052931_20250217T054154_T43QCA,2025-02-17,0.22160584989219562,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250222T052739_20250222T054100_T43QCA,2025-02-22,0.20383344084697222,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250227T052821_20250227T053844_T43QCA,2025-02-27,0.21402406142566513,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250304T052649_20250304T054049_T43QCA,2025-03-04,0.21113435377405282,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250309T052711_20250309T053627_T43QCA,2025-03-09,0.21166801785622225,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250314T052649_20250314T054014_T43QCA,2025-03-14,0.2170215236801326,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250319T052711_20250319T053558_T43QCA,2025-03-19,0.2226290012111072,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250324T052649_20250324T054002_T43QCA,2025-03-24,0.22275158596496938,"{""type"":""MultiPoint"",""coordinates"":[]}"
